                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.774,                 2.2477,                 1.5993,                0.51613,                0.19942,                 0.2433,                0.14008,                  2.351,                 2.5718,                 1.9966,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.6865,                 2.1083,                 1.5452,                0.50589,                0.22294,                0.26536,                0.15499,                 2.2146,                 2.4351,                  1.902,             1.7791e-05,             1.7791e-05,             1.7791e-05
                      3,                  1.656,                 1.9607,                 1.4901,                 0.5046,                0.28482,                0.28855,                0.17116,                 2.0994,                 2.2493,                 1.8237,             2.7189e-05,             2.7189e-05,             2.7189e-05
                      4,                 1.6569,                  1.949,                 1.5226,                0.56488,                0.31259,                0.32193,                0.19334,                 1.9394,                 2.0481,                 1.7228,             3.6525e-05,             3.6525e-05,             3.6525e-05
                      5,                 1.5739,                 1.7492,                 1.4895,                0.59169,                0.33235,                0.36029,                0.22437,                 1.8228,                 1.8638,                  1.661,             4.5797e-05,             4.5797e-05,             4.5797e-05
                      6,                 1.5154,                 1.7859,                 1.4784,                0.65377,                0.35212,                0.41427,                0.25588,                 1.7537,                  1.707,                  1.638,             5.5007e-05,             5.5007e-05,             5.5007e-05
                      7,                 1.5263,                 1.6016,                 1.4741,                0.59123,                0.41572,                0.44413,                0.27708,                 1.6678,                 1.5943,                  1.593,             6.4154e-05,             6.4154e-05,             6.4154e-05
                      8,                 1.4652,                   1.62,                 1.4556,                0.65182,                0.43298,                0.48692,                0.30227,                 1.5902,                 1.4986,                 1.5559,             7.3238e-05,             7.3238e-05,             7.3238e-05
                      9,                 1.4041,                 1.4966,                 1.3968,                0.66419,                0.46306,                0.54026,                0.32602,                  1.529,                 1.4167,                 1.5187,             8.2259e-05,             8.2259e-05,             8.2259e-05
                     10,                   1.44,                 1.5734,                  1.469,                 0.6275,                0.48657,                0.56286,                0.33843,                 1.4835,                 1.3498,                 1.4794,             9.1218e-05,             9.1218e-05,             9.1218e-05
