                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  2.954,                  4.719,                 3.1865,                0.23495,                0.02298,                 0.0099,                0.00319,                 2.9383,                 5.5986,                 3.3173,              0.0099663,              0.0099663,              0.0099663
                     37,                 2.9772,                 4.7705,                 3.1469,                  0.251,                0.03141,                0.01259,                0.00496,                 2.9444,                 6.9715,                 3.2607,              0.0099654,              0.0099654,              0.0099654
                     38,                 2.8847,                 4.6967,                 3.1492,                0.00427,                0.08323,                0.01209,                0.00386,                  2.989,                 5.6216,                 3.2952,              0.0099644,              0.0099644,              0.0099644
                     39,                 2.9444,                  4.642,                 3.1151,                0.19035,                0.03247,                0.00782,                0.00206,                 2.9807,                 4.9898,                 3.2828,              0.0099634,              0.0099634,              0.0099634
                     40,                 2.8243,                  4.633,                 3.0887,                0.24518,                0.02901,                 0.0166,                 0.0059,                 2.9663,                 4.3463,                 3.2331,              0.0099624,              0.0099624,              0.0099624
                     41,                 2.7634,                 4.6865,                 3.0115,                0.25506,                0.02291,                0.01704,                0.00642,                 2.8344,                 4.1979,                 3.1448,              0.0099614,              0.0099614,              0.0099614
                     42,                  2.799,                  4.562,                 3.0656,                0.32175,                0.01027,                0.01186,                0.00308,                 2.8877,                 4.2087,                 3.2058,              0.0099604,              0.0099604,              0.0099604
                     43,                 2.8484,                 4.5667,                 3.0056,                0.33201,                0.02162,                0.00885,                0.00291,                 3.0675,                 9.3844,                  3.374,              0.0099594,              0.0099594,              0.0099594
                     44,                 2.7992,                  4.589,                 3.0367,                0.35058,                0.01983,                0.00832,                0.00296,                 2.8304,                 6.0444,                  3.167,              0.0099584,              0.0099584,              0.0099584
                     45,                 2.7821,                 4.3902,                 2.9632,                0.39375,                0.01955,                0.01673,                0.00499,                 2.7688,                   5.93,                 3.0979,              0.0099574,              0.0099574,              0.0099574
                     46,                 2.7962,                 4.5479,                 2.9617,                0.44733,                0.01571,                0.01388,                0.00458,                 2.8014,                 4.4853,                 3.0438,              0.0099564,              0.0099564,              0.0099564
                     47,                 2.7606,                 4.5688,                 2.9443,                0.43285,                 0.0142,                0.00998,                0.00326,                 2.7545,                 4.2687,                  3.057,              0.0099555,              0.0099555,              0.0099555
                     48,                 2.7625,                 4.5411,                 2.9147,                0.35355,                0.02635,                 0.0183,                0.00634,                 2.8032,                 4.0558,                 3.0997,              0.0099545,              0.0099545,              0.0099545
                     49,                 2.7609,                  4.444,                  2.895,                0.35394,                0.02813,                0.01973,                0.00583,                 2.7564,                 4.1178,                 3.0371,              0.0099535,              0.0099535,              0.0099535
                     50,                 2.7156,                 4.3935,                 2.8511,                0.40291,                0.02052,                0.01746,                0.00618,                  2.777,                 4.0319,                 3.1027,              0.0099525,              0.0099525,              0.0099525
                     51,                 2.7192,                 4.3652,                 2.8613,                0.30429,                0.04625,                0.01832,                0.00677,                 2.7011,                 4.2214,                 3.0251,              0.0099515,              0.0099515,              0.0099515
                     52,                 2.6646,                 4.4276,                 2.8833,                0.36377,                0.01607,                0.00873,                0.00331,                 2.8695,                 4.2363,                 3.2313,              0.0099505,              0.0099505,              0.0099505
                     53,                  2.671,                 4.4116,                 2.8071,                0.38719,                0.02246,                0.02502,                0.01173,                 2.7206,                 4.0479,                 3.0037,              0.0099495,              0.0099495,              0.0099495
                     54,                 2.7151,                 4.3439,                 2.8346,                0.37907,                0.03017,                0.03824,                0.01476,                 2.6291,                 3.9147,                 2.9123,              0.0099485,              0.0099485,              0.0099485
                     55,                 2.6176,                 4.3193,                 2.8162,                0.39474,                0.02664,                0.02962,                 0.0109,                 2.6416,                 4.0986,                  2.918,              0.0099475,              0.0099475,              0.0099475
                     56,                 2.6209,                 4.3007,                 2.7971,                0.21001,                0.03843,                0.02187,                0.00742,                 2.7485,                 6.5835,                 3.0141,              0.0099465,              0.0099465,              0.0099465
                     57,                 2.5972,                 4.2683,                 2.8153,                0.36268,                0.03205,                0.03218,                   0.01,                 2.5868,                 3.8541,                 2.8742,              0.0099456,              0.0099456,              0.0099456
                     58,                 2.5843,                 4.2733,                 2.7686,                0.41012,                0.02931,                0.02894,                0.01012,                 2.5649,                 3.8819,                 2.8493,              0.0099446,              0.0099446,              0.0099446
                     59,                 2.5957,                 4.1496,                 2.7181,                0.38389,                0.04255,                0.03241,                0.01047,                 2.6366,                   4.49,                 2.8655,              0.0099436,              0.0099436,              0.0099436
                     60,                 2.5732,                 4.2961,                 2.7099,                0.48589,                0.04521,                0.03887,                0.01406,                 2.5621,                 3.6942,                 2.8007,              0.0099426,              0.0099426,              0.0099426
                     61,                  2.529,                  4.211,                 2.7465,                0.50199,                0.03487,                0.04253,                0.01481,                 2.5339,                 3.6467,                 2.8143,              0.0099416,              0.0099416,              0.0099416
                     62,                 2.6017,                 4.1889,                 2.7117,                 0.4881,                0.04077,                0.04261,                0.01545,                 2.5058,                 3.5469,                 2.7896,              0.0099406,              0.0099406,              0.0099406
                     63,                 2.4909,                 4.0515,                 2.6481,                0.52924,                0.04352,                 0.0538,                0.01971,                 2.5008,                 3.5383,                 2.7818,              0.0099396,              0.0099396,              0.0099396
                     64,                 2.5212,                 4.1882,                 2.6649,                0.47744,                0.04849,                0.05357,                0.01883,                 2.5216,                  3.593,                 2.7927,              0.0099386,              0.0099386,              0.0099386
                     65,                  2.537,                 4.1967,                 2.6423,                0.45567,                0.04231,                0.05634,                0.02045,                 2.4987,                 3.5987,                 2.7635,              0.0099376,              0.0099376,              0.0099376
                     66,                 2.5068,                 4.0786,                 2.6244,                0.02062,                0.19423,                0.06358,                 0.0223,                 2.4836,                 3.5871,                 2.7316,              0.0099366,              0.0099366,              0.0099366
                     67,                 2.5274,                 4.0674,                 2.6561,                0.54219,                0.03441,                0.04969,                0.02064,                 2.4566,                 3.5494,                 2.7191,              0.0099357,              0.0099357,              0.0099357
                     68,                 2.4508,                 4.0216,                 2.6151,                0.51803,                 0.0524,                0.06248,                 0.0272,                 2.4237,                 3.4263,                 2.6779,              0.0099347,              0.0099347,              0.0099347
                     69,                 2.4456,                 3.9994,                 2.5678,                0.50766,                0.04029,                0.05241,                0.02098,                 2.5193,                 3.8151,                 2.7094,              0.0099337,              0.0099337,              0.0099337
                     70,                 2.3795,                 4.0601,                 2.5552,                  0.613,                0.04332,                0.06106,                 0.0238,                 2.4286,                 3.5323,                 2.6527,              0.0099327,              0.0099327,              0.0099327
                     71,                 2.4577,                 4.0052,                 2.5812,                0.58778,                0.04218,                0.05503,                0.02255,                 2.3997,                 3.5866,                 2.6899,              0.0099317,              0.0099317,              0.0099317
                     72,                 2.4321,                 3.9897,                 2.5495,                0.58666,                0.05844,                0.06469,                 0.0254,                 2.3891,                 3.3928,                 2.6338,              0.0099307,              0.0099307,              0.0099307
                     73,                 2.3417,                 4.0099,                 2.5442,                0.58112,                0.05712,                0.06758,                0.02775,                 2.3689,                 3.5185,                 2.5966,              0.0099297,              0.0099297,              0.0099297
                     74,                 2.3645,                 3.9495,                 2.5442,                 0.4159,                0.06262,                0.06246,                0.02576,                 2.3895,                 3.5823,                 2.6077,              0.0099287,              0.0099287,              0.0099287
                     75,                 2.4046,                 3.9021,                 2.4847,                0.49822,                0.06211,                0.06862,                0.02899,                 2.3531,                 3.4575,                 2.6202,              0.0099277,              0.0099277,              0.0099277
                     76,                  2.364,                 3.7978,                 2.5438,                0.43163,                0.08228,                 0.0837,                0.03346,                 2.3221,                 3.4402,                 2.6007,              0.0099267,              0.0099267,              0.0099267
                     77,                 2.3583,                 3.7852,                 2.5047,                0.49719,                0.08507,                0.08485,                0.03445,                 2.3255,                 3.4973,                 2.5766,              0.0099258,              0.0099258,              0.0099258
                     78,                 2.3523,                   3.93,                 2.4592,                0.56368,                0.05791,                0.08696,                0.03666,                 2.3308,                 3.3592,                 2.5881,              0.0099248,              0.0099248,              0.0099248
                     79,                   2.31,                 3.9171,                 2.4754,                0.56896,                0.05871,                0.06819,                0.03237,                 2.3595,                 3.3998,                 2.6363,              0.0099238,              0.0099238,              0.0099238
                     80,                 2.3074,                 3.7964,                 2.4561,                 0.5805,                0.09173,                0.08742,                0.03541,                 2.2941,                 3.3081,                 2.5504,              0.0099228,              0.0099228,              0.0099228
                     81,                 2.3217,                 3.8826,                 2.4294,                0.53668,                0.09876,                 0.0987,                0.04029,                 2.3246,                 3.3821,                 2.5427,              0.0099218,              0.0099218,              0.0099218
                     82,                 2.2896,                 3.7265,                 2.4137,                0.55521,                0.09704,                 0.0901,                0.03846,                 2.2969,                 3.2853,                 2.5051,              0.0099208,              0.0099208,              0.0099208
                     83,                 2.3225,                 3.7955,                 2.4187,                0.58828,                0.08291,                0.09293,                0.03834,                 2.3525,                 3.2856,                 2.5422,              0.0099198,              0.0099198,              0.0099198
                     84,                 2.3226,                 3.6486,                 2.4513,                0.61801,                0.06861,                 0.0749,                 0.0317,                 2.4567,                 3.5148,                  2.649,              0.0099188,              0.0099188,              0.0099188
                     85,                 2.2692,                 3.7813,                 2.4239,                0.62015,                0.08759,                0.08444,                0.03905,                 2.3257,                  3.361,                 2.5566,              0.0099178,              0.0099178,              0.0099178
                     86,                 2.2447,                 3.6524,                 2.4081,                0.56413,                 0.0977,                0.09769,                0.04555,                 2.3016,                 3.3477,                 2.5603,              0.0099168,              0.0099168,              0.0099168
                     87,                 2.2411,                 3.6587,                 2.4545,                0.62496,                0.09129,                0.12536,                0.05938,                 2.2116,                 3.1248,                 2.4762,              0.0099159,              0.0099159,              0.0099159
                     88,                 2.2626,                 3.6702,                 2.3965,                 0.5699,                 0.0829,                0.09745,                0.04561,                 2.2553,                 3.1717,                 2.4675,              0.0099149,              0.0099149,              0.0099149
                     89,                 2.2364,                 3.6157,                 2.3502,                0.64511,                0.07542,                0.10478,                0.05206,                 2.2123,                 3.0795,                 2.4262,              0.0099139,              0.0099139,              0.0099139
                     90,                 2.2787,                 3.6191,                 2.3705,                0.64227,                0.09339,                0.11225,                0.05125,                 2.2038,                 3.0366,                 2.4228,              0.0099129,              0.0099129,              0.0099129
                     91,                 2.2448,                 3.6126,                 2.3695,                0.61943,                 0.0948,                0.10339,                0.04607,                 2.2171,                 3.1141,                 2.4468,              0.0099119,              0.0099119,              0.0099119
                     92,                 2.2471,                 3.6392,                 2.4022,                0.51842,                0.12068,                0.11088,                0.04787,                 2.2197,                 3.1543,                 2.4514,              0.0099109,              0.0099109,              0.0099109
                     93,                 2.2358,                 3.5941,                 2.4149,                 0.6244,                0.10566,                 0.1228,                0.05792,                 2.1826,                 3.1249,                 2.4213,              0.0099099,              0.0099099,              0.0099099
                     94,                 2.1793,                 3.5983,                 2.3203,                0.50054,                0.15334,                0.11214,                0.05187,                 2.1778,                 3.1854,                 2.4048,              0.0099089,              0.0099089,              0.0099089
                     95,                 2.1235,                 3.5951,                 2.3536,                0.54459,                0.14951,                0.13188,                0.06428,                 2.1852,                 3.3022,                 2.4419,              0.0099079,              0.0099079,              0.0099079
                     96,                  2.161,                 3.5529,                 2.3317,                0.52148,                0.15648,                0.12882,                0.06388,                 2.1525,                 3.4146,                 2.3948,              0.0099069,              0.0099069,              0.0099069
                     97,                 2.1645,                 3.5928,                 2.3052,                0.64143,                 0.1043,                0.13534,                0.07114,                 2.1693,                 3.0696,                 2.3847,               0.009906,               0.009906,               0.009906
                     98,                 2.1572,                 3.5172,                 2.3051,                 0.5514,                0.15648,                0.13969,                0.07404,                 2.1675,                 2.9697,                  2.399,               0.009905,               0.009905,               0.009905
                     99,                 2.1499,                 3.5229,                 2.2951,                0.49712,                0.15141,                0.14975,                0.08053,                 2.1354,                 2.9161,                 2.3822,               0.009904,               0.009904,               0.009904
                    100,                 2.2091,                 3.4721,                 2.3613,                0.50949,                0.15075,                0.12308,                0.06355,                 2.1842,                  3.054,                 2.4139,               0.009903,               0.009903,               0.009903
                    101,                 2.2055,                 3.5169,                 2.3259,                0.65252,                0.12639,                0.12354,                 0.0619,                 2.1858,                 3.1855,                 2.3821,               0.009902,               0.009902,               0.009902
                    102,                 2.2095,                 3.4659,                 2.3042,                0.57886,                0.13562,                0.13266,                0.06687,                 2.1617,                 3.1186,                 2.3629,               0.009901,               0.009901,               0.009901
                    103,                 2.1519,                 3.3946,                 2.2655,                0.52744,                0.13627,                0.11871,                0.06246,                 2.1828,                 3.1261,                 2.3757,                 0.0099,                 0.0099,                 0.0099
                    104,                  2.112,                 3.4563,                 2.2872,                0.56598,                0.10614,                0.15257,                0.07643,                 2.1609,                 2.9621,                 2.4062,               0.009899,               0.009899,               0.009899
                    105,                 2.1708,                 3.4846,                 2.2905,                0.48912,                0.19234,                0.17035,                 0.0852,                 2.0815,                 2.9253,                 2.3404,               0.009898,               0.009898,               0.009898
                    106,                 2.1115,                 3.4388,                 2.2538,                0.52463,                0.19465,                0.17953,                0.09394,                 2.0698,                 2.8698,                 2.3035,               0.009897,               0.009897,               0.009897
                    107,                 2.1086,                 3.4458,                 2.2814,                0.66328,                0.14329,                0.19102,                0.10125,                  2.065,                 2.7978,                 2.3028,              0.0098961,              0.0098961,              0.0098961
